prompt,completion
/product/2020-scott-contessa-speedster-15,/pages/scott-bikes/
/product/2020-scott-contessa-speedster-25,/pages/scott-bikes/
/product/2020-scott-contessa-speedster-35,/pages/scott-bikes/
/product/2020-scott-contessa-speedster-gravel-15,/pages/scott-bikes/
/product/2020-scott-contessa-speedster-gravel-25,/pages/scott-bikes/
/product/2020-scott-contessa-walker,/pages/scott-bikes/
/product/2020-scott-foil-10,/pages/scott-bikes/
/product/2020-scott-foil-20,/pages/scott-bikes/
/product/2020-scott-genius-910,/pages/scott-bikes/
/product/2020-scott-genius-920,/pages/scott-bikes/
/product/2020-scott-genius-930,/pages/scott-bikes/
/product/2020-scott-genius-940,/pages/scott-bikes/
/product/2020-scott-genius-950,/pages/scott-bikes/
/product/2020-scott-genius-eride-900-tuned,/pages/scott-bikes/
/product/2020-scott-genius-eride-910,/pages/scott-bikes/
/product/2020-scott-genius-eride-920,/pages/scott-bikes/
/product/2020-scott-genius-eride-930,/pages/scott-bikes/
/product/2020-scott-ransom-910,/pages/scott-bikes/
/product/2020-scott-ransom-920,/pages/scott-bikes/
/product/2020-scott-ransom-930,/pages/scott-bikes/
/product/2020-scott-roxter-14,/pages/scott-bikes/
/product/2020-scott-roxter-16,/pages/scott-bikes/
/product/2020-scott-roxter-20,/pages/scott-bikes/
/product/2020-scott-roxter-24,/pages/scott-bikes/
/product/2020-scott-roxter-26-disc,/pages/scott-bikes/
/product/2020-scott-roxter-walker,/pages/scott-bikes/
/product/2020-scott-scale-16,/pages/scott-bikes/
/product/2020-scott-scale-20-rigid,/pages/scott-bikes/
/product/2020-scott-scale-910,/pages/scott-bikes/
/product/2020-scott-scale-920,/pages/scott-bikes/
/product/2020-scott-scale-930,/pages/scott-bikes/
/product/2020-scott-scale-940,/pages/scott-bikes/
/product/2020-scott-scale-950,/pages/scott-bikes/
/product/2020-scott-scale-960,/pages/scott-bikes/
/product/2020-scott-scale-970,/pages/scott-bikes/
/product/2020-scott-scale-rc-900-pro,/pages/scott-bikes/
/product/2020-scott-scale-rc-900-world-cup-axs,/pages/scott-bikes/
/product/2020-scott-scale-rc-900-world-cup-axs-2,/pages/scott-bikes/
/product/2020-scott-spark-930,/pages/scott-bikes/
/product/2020-scott-spark-940,/pages/scott-bikes/
/product/2020-scott-spark-940-size-md-pc58-demo-sale,/pages/scott-bikes/
/product/2020-scott-spark-940-size-sm-pc56-copy,/pages/scott-bikes/
/product/2020-scott-spark-950,/pages/scott-bikes/
/product/2020-scott-spark-960,/pages/scott-bikes/
/product/2020-scott-spark-eride-920,/pages/scott-bikes/
/product/2020-scott-spark-eride-930,/pages/scott-bikes/
/product/2020-scott-spark-pro-700,/pages/scott-bikes/
/product/2020-scott-spark-rc-900-pro,/pages/scott-bikes/
/product/giro-savant-mips-helmet,/collections/giro
/product/giro-womens-chrono-expert-halter-bib,/collections/giro
/product/giro-womens-empire-acc,/collections/giro
/collections/build-type-bike,/collection/bikes
/collections/activity-type-roaddoes+klarna+affect+credit,/collections
/collections/collection/under-500,/collections
/collections/marcs-bikes,/collections
/collections/xplr,/collections
/product-category/uncategorized,/collections
/product-category/whats-new,/collections
/collections/2021-contender-bicycles-shop-kit/products/2021-contender-bicycles-classic-long-sleeve-jersey,/collections/2021-contender-bicycles-shop-kit/
/collections/2022-scott-spark/products/products/scott-spark-rc-900-sl-axs,/collections/2022-scott-spark
/collections/2022-scott-spark/products//products/scott-spark-rc-900-sl-axs,/collections/2022-scott-spark/
/cervelo,/collections/3t
/collections/3t),/collections/3t
/product-category/bikes/3t-bikes,/collections/3t
/product-category/road/pre-built-bike-road/3t-pre-built-bike-road,/collections/3t
/product-tag/3t-exploro,/collections/3t
/product-tag/3t-exploro-ltd-ultegra-bike,/collections/3t
/product-tag/3t-exploro-team,/collections/3t
/product-tag/3t-ready-to-paint,/collections/3t
/product-tag/3t-strada,/collections/3t
/product-tag/Exploro-Pro,/collections/3t
/brand/3t,/collections/3t/
/collections/5000-10000/products/santa-cruz-bronson-c-s-kit,/collections/5000-10000
/product-tag/7Mesh,/collections/7mesh-industries
/product-tag/7mesh-Desperado,/collections/7mesh-industries
/product-tag/7mesh-Farside,/collections/7mesh-industries
/product-tag/7Mesh-Glidepath,/collections/7mesh-industries
/product-tag/7mesh-Sight,/collections/7mesh-industries
/brand/100,/collections/accessories
/brand/7-mesh,/collections/accessories
/brand/asend-nutrition,/collections/accessories
/brand/bryton-sport,/collections/accessories
/collections/accessories),/collections/accessories
/collections/collection-mirrors,/collections/accessories
/product-category/accessories,/collections/accessories
/product-category/accessories/cycling-cameras,/collections/accessories
/product-category/accessories/frame-protection,/collections/accessories
/product-tag/water-bottle,/collections/accessories/collection-bottles-cages
/product-tag/kuat-nv/feed,/collections/accessories/collection-car-racks
/product-category/accessories/nutrition,/collections/accessories/collection-nutrition
/product-tag/Contender-bottle-cage,/collections/accessories/contender-bicycles
/product-tag/Contender-Breakaway-Insulated-Bottle,/collections/accessories/contender-bicycles
/collections/accessories/products/wahoo-elemnt-gps-bike-computer,/collections/accessories/wahoo-fitness
/collections/activity-type-all-mountain/products/santa-cruz-bronson-4-al-s-kit,/collections/activity-type-all-mountain
/collections/activity-type-all-mountain/products/santa-cruz-bronson-al-s-kit,/collections/activity-type-all-mountain
/products/contender-retro-t-shirt-vintage-purple,/collections/activity-type-casual/collection-jersey-tops
/collections/activity-type-cross-country/products/juliana-joplin-29-cc-x01-kit,/collections/activity-type-cross-country
/collections/activity-type-cross-country/products/santa-cruz-blur-cc-x01-kit,/collections/activity-type-cross-country
/product-category/e-bikes-urban,/collections/activity-type-e-bike
/product-category/e-bikes-urban/custom-build,/collections/activity-type-e-bike
/product-category/e-bikes-urban/custom-build/bmc-custom-build,/collections/activity-type-e-bike
/product-category/e-bikes-urban/custom-build/pinarello,/collections/activity-type-e-bike
/product-category/e-bikes-urban/custom-build/scott-custom-build,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/bmc,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/cannondale-pre-built-bike-e-bikes-urban,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/colnago-pre-built-bike-e-bikes-urban,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/faraday,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/larry-vs-harry,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/orbea-pre-built-bike-e-bikes-urban,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/pinarello-pre-built-bike-e-bikes-urban,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/santa-cruz-pre-built-bike-e-bikes-urban,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/scott-pre-built-bike-e-bikes-urban,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/stromer,/collections/activity-type-e-bike
/product-category/e-bikes-urban/pre-built-bike-e-bikes-urban/yuba,/collections/activity-type-e-bike
/products/2022-orbea-vibe-h10-20mph,/collections/activity-type-e-bike
/product/2019-cannondale-fat-caad-2-demo-for-sale,/collections/activity-type-fat-bike
/product/scott-big-ed,/collections/activity-type-fat-bike
/products/cannondale-fat,/collections/activity-type-fat-bike
/collections/pinarello/products/2019-pinarello-grevil-sram-force-1x,/collections/activity-type-gravel/pinarello
/collections/shimano-grx,/collections/activity-type-gravel/shimano
/product/2019-cannondale-quick-ltd,/collections/activity-type-lifestyle
/collections/activity-type-trail/products/santa-cruz,/collections/activity-type-trail
/collections/collection,/collections/all
/collections/featured-collection/sprintech,/collections/all
/produc=,/collections/all
/product=,/collections/all
/products/=,/collections/all
/products/100-airmatic-glove,/collections/all/100-percent
/products/3t-strada-due-team-frame,/collections/all/3t
/products/2020-cannondale-tesoro-neo-x-3,/collections/all/cannondale
/products/assos-assosoires-spring-fall-rs-leg-warmers,/collections/all/collection:arm-knee-leg-warmers
/products/assos-legwarmers_evo7,/collections/all/collection:arm-knee-leg-warmers
/products/assos-earlywintergloves_s7,/collections/all/collection:gloves
/products/assos-hf-shashaglove,/collections/all/collection:gloves
/products/assos-fuguhelm,/collections/all/collection:headwear
/products/assos-raincap_s7,/collections/all/collection:headwear
/products/assos-ls-skinfoil_spring-fall_s7-base-layer,/collections/all/collection:jersey-tops
/products/assos-ls-skinfoil_summer_evo7,/collections/all/collection:jersey-tops
/products/assos-ls-skinfoilwinter_s7-base-layer,/collections/all/collection:jersey-tops
/products/assos-ns-hotsummer-evo-base-layer,/collections/all/collection:jersey-tops
/products/assos-ns-skinfoil_summer_s7-base-layer,/collections/all/collection:jersey-tops
/products/assos-h-laalalaishorts_s7,/collections/all/collection:short-bottoms+gender-female
/products/assos-h-rallyinnershort-s7-woman,/collections/all/collection:short-bottoms+gender-female
/products/assos-hl-tiburutights-s7-lady,/collections/all/collection:short-bottoms+gender-female
/products/assos-ladys-t-laalalaishorts_s7,/collections/all/collection:short-bottoms+gender-female
/products/assos-habutightsmille_s7,/collections/all/collection:short-bottoms+gender-male
/products/assos-mens-t-equipeevo-short,/collections/all/collection:short-bottoms+gender-male
/products/assos-habusock_evo7,/collections/all/collection:socks
/products/assos-habusock_evo8,/collections/all/collection:socks
/products/the-assos-bonkasock,/collections/all/collection:socks
/products/2020-colnago-e64-ultegra-e-bike,/collections/all/colnago
/products/2020-colnago-egrv-e-bike-mech-grx,/collections/all/colnago
/products/2019-contender-bicycles-classic-jersey,/collections/all/contender-bicycles
/products/2019-contender-bicycles-long-sleeve-mountain-jersey,/collections/all/contender-bicycles
/products/2019-contender-bicycles-short-sleeve-mountain-jersey,/collections/all/contender-bicycles
/products/2019-contender-bicycles-shorts-spl,/collections/all/contender-bicycles
/products/2019-contender-bicycles-shorts-spl-1,/collections/all/contender-bicycles
/products/2020-contender-bicycles-classic-jersey,/collections/all/contender-bicycles
/products/2020-contender-bicycles-classic-long-sleeve-jersey,/collections/all/contender-bicycles
/products/2020-contender-bicycles-prr-bib-short,/collections/all/contender-bicycles
/products/2020-contender-bicycles-spl-short,/collections/all/contender-bicycles
/products/2020-contender-bicycles-womens-classic-jersey,/collections/all/contender-bicycles
/products/2020-contender-bicycles-womens-prr-bib-short,/collections/all/contender-bicycles
/products/contender-club-long-sleeve-mountain-jersey,/collections/all/contender-bicycles
/products/2019-orbea-gain-m30,/collections/all/orbea
/products/2019-orbea-gain-m30Now,/collections/all/orbea
/products/2020-orbea-gain-m30-20-mph,/collections/all/orbea
/products/2018-pinarello-bolide-tt-frameset,/collections/all/pinarello
/products/2019-pinarello-bolide-tr-frameset,/collections/all/pinarello
/products/2019-pinarello-bolide-tr-frameset-ultegra-di2,/collections/all/pinarello
/products/2019-pinarello-crossista-force-1,/collections/all/pinarello
/products/2019-pinarello-crossista-frameset,/collections/all/pinarello
/products/2019-pinarello-grevil-force-1,/collections/all/pinarello
/collections/all/products/open-u-p-unbeaten-path-ultegra-complete-bike-1,/collections/all/products/open-u-p-unbeaten-path-ultegra-complete-bike
/collections/all/products/open-upper-campagnolo-ekar-1,/collections/all/products/open-upper-campagnolo-ekar
/products/2020-scott-silence-eride-10-lady,/collections/all/scott-bikes
/products/2020-scott-silence-eride-10-men,/collections/all/scott-bikes
/product-tag/allied-able,/collections/allied-cycle-works
/product-tag/allied-able-complete,/collections/allied-cycle-works
/brand/allied-cycle-works,/collections/allied-cycle-works/
/collections/apparel),/collections/apparel
/product-category/accessories/eyewear,/collections/apparel
/product-category/apparel,/collections/apparel
/product-category/apparel/men-apparel,/collections/apparel
/product-category/apparel/men-apparel/men-eyewear,/collections/apparel
/product-category/apparel/men-apparel/men-gloves,/collections/apparel
/product-category/apparel/men-apparel/men-headwear,/collections/apparel
/product-category/apparel/men-apparel/men-helmets,/collections/apparel
/product-category/apparel/men-apparel/men-shoes,/collections/apparel
/product-category/apparel/men-apparel/men-socks-shoecovers,/collections/apparel
/product-category/apparel/men-apparel/protection,/collections/apparel
/product-category/apparel/men-apparel/tops-men-apparel,/collections/apparel
/product-category/apparel/men-apparel/tops-men-apparel/men-base-layers,/collections/apparel
/product-category/apparel/men-apparel/tops-men-apparel/men-jackets-vests,/collections/apparel
/product-category/apparel/men-apparel/tops-men-apparel/men-jerseys,/collections/apparel
/product-category/apparel/men-apparel/tops-men-apparel/men-lifestyle,/collections/apparel
/product-category/apparel/women-apparel,/collections/apparel
/product-category/apparel/women-apparel/bottoms-women-apparel,/collections/apparel
/product-category/apparel/women-apparel/bottoms-women-apparel/women-shorts-bibs,/collections/apparel
/product-category/apparel/women-apparel/bottoms-women-apparel/women-tights-knickers,/collections/apparel
/product-category/apparel/women-apparel/men-arm-knee-leg-warmers,/collections/apparel
/product-category/apparel/women-apparel/tops,/collections/apparel
/product-category/apparel/women-apparel/tops/women-base-layer,/collections/apparel
/product-category/apparel/women-apparel/tops/women-jackets-vests,/collections/apparel
/product-category/apparel/women-apparel/tops/women-jersey,/collections/apparel
/product-category/apparel/women-apparel/tops/women-lifestyle,/collections/apparel
/product-category/apparel/women-apparel/women-arm-knee-leg-warmers,/collections/apparel
/product-category/apparel/women-apparel/women-eyewear,/collections/apparel
/product-category/apparel/women-apparel/women-gloves,/collections/apparel
/product-category/apparel/women-apparel/women-headwear,/collections/apparel
/product-category/apparel/women-apparel/women-helmet,/collections/apparel
/product-category/apparel/women-apparel/women-protection,/collections/apparel
/product-category/apparel/women-apparel/women-shoes,/collections/apparel
/product-category/apparel/women-apparel/women-socks-shoecovers,/collections/apparel
/product-category/apparel/youth-apparel,/collections/apparel
/product/2019-contender-bicycles-jersey-prr,/collections/apparel
/product/2020-contender-bicycles-long-sleeve-jersey,/collections/apparel
/product/contender-barn-t-shirt,/collections/apparel
/product/contender-bicycles-bee-jersey,/collections/apparel
/product/contender-bicycles-elevation-jersey,/collections/apparel
/product/contender-dot-jersey,/collections/apparel
/product/contender-mtb-jersey,/collections/apparel
/product/contender-nordic-cycling-cap-navy-frost-blue,/collections/apparel
/product/contender-pc-slc-bib-shorts,/collections/apparel
/product/contender-pc-slc-womens-short,/collections/apparel
/product/contender-performance-t-shirt,/collections/apparel
/product/contender-printed-buff,/collections/apparel
/product/contender-womens-dot-jersey,/collections/apparel
/product/corgi-cross-jersey,/collections/apparel
/product/corgi-cross-mens-hoodie,/collections/apparel
/product/corgi-cross-t-shirt,/collections/apparel
/product/craft-glow-jersey,/collections/apparel
/product/craft-womens-glow-jersey,/collections/apparel
/product/dznuts-in-heat-embrocation-cream,/collections/apparel
/product/giro-mens-mobility-stretch-crew,/collections/apparel
/product/q36-5-dottore-l1-mens-bib,/collections/apparel
/product/uvex-jakkyl-hde-helmet,/collections/apparel
/product/uvex-sportstyle-202-race-vario-sunglasses,/collections/apparel
/product/uvex-sportstyle-810-vario-sunglasses,/collections/apparel
/product/velocio-es-jacket,/collections/apparel
/product/velocio-mens-ultralight-vest,/collections/apparel
/product/velocio-signature-fly-bib-short,/collections/apparel
/product/velocio-womens-ultralight-vest,/collections/apparel
/products/assos,/collections/apparel/assos
/products/assos-fugubootie-s7,/collections/apparel/assos
/apparel/headwear.html,/collections/apparel/collection-headwear
/products/assos-shellgloves_s7,/collections/apparel/collection:gloves
/products/assos-tiburuglove_evo7,/collections/apparel/collection:gloves
/products/cafe-du-cycliste-gloves,/collections/apparel/collection:gloves
/products/bell-super-air-r-fasthouse-helmet,/collections/apparel/collection:helmets
/products/assos-skinfoil-winter-ls-base-layer,/collections/apparel/collection:jackets-outerwear
/products/assos-sv-blitzfeder-evo7,/collections/apparel/collection:jackets-outerwear
/products/cafe-du-cycliste-jacqueline-windproof-gilet-vest,/collections/apparel/collection:jackets-outerwear
/products/assos-xc-short-sleeve-jersey,/collections/apparel/collection:jersey-tops
/products/contender-coffee-cocoa-jersey,/collections/apparel/collection:jersey-tops
/products/contender-coffee-cocoa-long-sleeve-jersey,/collections/apparel/collection:jersey-tops
/products/contender-g-s-retro-jersey,/collections/apparel/collection:jersey-tops
/products/assos-t-cento_s7-bib-shorts-black-s,/collections/apparel/collection:short-bottoms
/products/assos-t-equipe_s7-bib-shorts,/collections/apparel/collection:short-bottoms
/products/assos-t-milleshorts_s7,/collections/apparel/collection:short-bottoms
/products/assos-uma-gt-half-tights-summer,/collections/apparel/collection:short-bottoms
/products/assos-xc-bib-shorts-torpedo-grey,/collections/apparel/collection:short-bottoms
/products/assos-xc-socks,/collections/apparel/collection:socks
/products/assosoires-gt-socks,/collections/apparel/collection:socks
/products/contender-dot-sock,/collections/apparel/collection:socks
/assos-ss-skinfoil_summer_s7-base-layer,/collections/apparel/collection:tops
/products/assos-skinfoil-spring-fall-ls-base-layer,/collections/apparel/collection:tops
/products/assos-skinfoil-spring-fall-ss-base-layer,/collections/apparel/collection:tops
/products/assos-ss-skinfoil_spring-fall_s7-base-layer,/collections/apparel/collection:tops
/product-tag/2019-contender,/collections/apparel/contender-bicycles
/product-tag/2019-contender-bicycles-aero-jersey,/collections/apparel/contender-bicycles
/product-tag/2019-contender-bicycles-bib-shorts-spl,/collections/apparel/contender-bicycles
